city,country,iso3,region,headline,bench,n_total,n_classified,n_malls,n_categories,ultra_hits,premium_hits,ultra_variety,premium_variety,malls_with_ultra,lux_intensity,lux_breadth,premium_tilt,fallback_share,coverage_ok
chiangmai,Thailand,THA,SEA,0,0,1784,1784,2,9,16,36,12,17,2,0.019058,1.0,-0.7158,0.2635,1
khonkaen,Thailand,THA,SEA,0,0,410,410,1,9,1,6,1,5,1,0.009756,1.0,0.3561,0.3561,1
korat,Thailand,THA,SEA,0,0,602,602,1,9,6,9,6,7,1,0.017442,1.0,-0.5199,0.2824,1
pattaya,Thailand,THA,SEA,0,0,934,932,1,9,12,27,12,18,1,0.027302,1.0,-0.7275,0.1813,1
danang,Vietnam,VNM,SEA,0,0,111,111,1,0,1,3,1,3,1,0.022523,1.0,0.0,0.0,0
bangkok,Thailand,THA,SEA,1,0,15965,15399,25,15,222,364,52,51,18,0.025305,0.72,-0.3063,0.2369,1
jakarta,Indonesia,IDN,SEA,1,0,3578,2278,12,15,24,91,18,25,6,0.019424,0.5,0.376,0.4548,1
penang,Malaysia,MYS,SEA,0,0,666,341,2,11,6,29,5,23,1,0.030781,0.5,0.3988,0.437,1
hanoi,Vietnam,VNM,SEA,1,0,1197,1184,13,0,11,33,5,11,6,0.022974,0.4615,0.0,0.0,0
kl,Malaysia,MYS,SEA,1,0,6215,4614,16,15,116,176,46,44,7,0.032824,0.4375,0.4001,0.402,1
davao,Philippines,PHL,SEA,0,0,968,142,3,4,1,8,1,6,1,0.005165,0.3333,-0.2113,0.9718,0
hcmc,Vietnam,VNM,SEA,1,0,992,992,13,11,13,39,7,13,4,0.032762,0.3077,0.0484,0.0363,1
sydney,Australia,AUS,OCE,0,1,1055,989,8,14,18,24,15,17,2,0.028436,0.25,0.3231,0.3792,1
melbourne,Australia,AUS,OCE,0,1,1294,1259,10,14,2,16,2,13,2,0.007728,0.2,0.2609,0.4384,1
sg,Singapore,SGP,SEA,0,1,9158,8944,59,15,152,193,54,46,11,0.027135,0.1864,0.3374,0.4627,1
manila,Philippines,PHL,SEA,1,0,13400,3243,56,12,46,147,28,35,9,0.008918,0.1607,0.0538,0.7996,1
cebu,Philippines,PHL,SEA,0,0,1824,297,7,4,1,13,1,8,1,0.004112,0.1429,-0.165,0.9731,0
brisbane,Australia,AUS,OCE,0,1,1010,988,10,14,12,6,10,3,1,0.014851,0.1,0.3305,0.3603,1
bandung,Indonesia,IDN,SEA,0,0,186,186,2,11,0,0,0,0,0,0.0,0.0,0.3898,0.0538,1
surabaya,Indonesia,IDN,SEA,0,0,328,328,2,11,0,0,0,0,0,0.0,0.0,0.4634,0.061,1
medan,Indonesia,IDN,SEA,0,0,592,592,3,11,0,9,0,8,0,0.007601,0.0,0.5084,0.0422,1
palembang,Indonesia,IDN,SEA,0,0,318,318,2,10,0,7,0,7,0,0.011006,0.0,0.5314,0.0409,1
hatyai,Thailand,THA,SEA,0,0,466,466,1,9,0,9,0,7,0,0.009657,0.0,0.4034,0.4099,1
phuket,Thailand,THA,SEA,0,0,351,351,1,8,0,6,0,5,0,0.008547,0.0,0.4729,0.3476,0
iloilo,Philippines,PHL,SEA,0,0,559,174,3,12,0,1,0,1,0,0.000894,0.0,0.3506,0.546,1
bacolod,Philippines,PHL,SEA,0,0,638,146,2,4,0,0,0,0,0,0.0,0.0,-0.1336,0.9521,0
cdo,Philippines,PHL,SEA,0,0,637,91,3,4,0,1,0,1,0,0.000785,0.0,-0.1154,0.9451,0
clark,Philippines,PHL,SEA,0,0,1628,122,5,4,0,12,0,8,0,0.003686,0.0,-0.1189,0.9754,0
adelaide,Australia,AUS,OCE,0,1,436,435,3,11,0,2,0,1,0,0.002294,0.0,0.2598,0.4253,1
perth,Australia,AUS,OCE,0,1,803,778,8,14,0,5,0,2,0,0.003113,0.0,0.2988,0.401,1
auckland,New Zealand,NZL,OCE,0,1,145,127,2,9,0,1,0,1,0,0.003448,0.0,0.3701,0.3307,1
christchurch,New Zealand,NZL,OCE,0,1,116,102,1,11,0,1,0,1,0,0.00431,0.0,0.3284,0.3333,1
dhaka,Bangladesh,BGD,SA,0,0,701,701,1,0,0,4,0,3,0,0.002853,0.0,0.0,0.0,0
